p100,Tempeal
p101,Zeghard Fortress
p102,The Hills
p103,Furycane Arena
p104,"Furycane Arena (Foggy, Story Cutscene)"
p150,? Spawns to empty sky.
p200,Grandcypher (Avia chase)
p201,Grandcypher (After avia chase?)
p202,Avia ship
p203,"Grandcypher, avia ship to the right"
p300,Leautagne Island Mountain
p400,Dahli Island Story Start
p401,Dahli Island Center (Excavallion fight?)
p402,Dahli Island (Under?)
p500,Phondam Isles Story Start
p501,Grandcypher
p502,Vulkan Bolla Arena
p503,Vulkan Bolla Arena (2)
p600,"Seedhollow (Arena 1, Bridge)"
p601,Angra Mainyu Arena
p602,Seedhollow (?)
p700,Pillar of Vayoi Start
p701,Bahamut Versa Sky Arena
p702,Bahamut Versa (Bugged?)
p703,Pillar of Vayoi Arena?
p704,Pillar of Vayoi (on Grandcypher)
p710,Versa vs Proto Purple Sky Arena
p711,Grandcypher (?)
p720,Lucilius Arena
p800,"Grandcypher (Story start, messy deck/obstacles)"
p801,Grandcypher (Bugged?)
p802,"Grandcypher (? deck only, obstacles)"
p803,Grandcypher (Proto fight sky)
p900,Sundappled Grove (story)
p901,Captain fall (?)
pA01,?
pA10,?
pB00,?
pB01,Clouds (?)
pB06,Clouds (?)
pB20,Id Story Quest
pB30,? Sir Barrold in the air
pC00,Folca
pD00,Seedhollow
pD01,Seedhollow (night)
pD02,Seedhollow (night)
pE10,Rolan Ship
pE20,Grandcypher
pE30,Grandcypher (Snowy)
pE40,"Grandcypher (Night, not snowy)"
pE41,Rolan Ship
pE50,Grandcypher (to Desert)
pE60,Grandcypher (Night)
pE70,Grandcypher (to Pillar)
pE80,"Grandcypher (sunset, to Versa?)"
pE90,Grandcypher (normal)
pE91,"Grandcypher (deck only, invisible walls)"
pE92,Grandcypher (?)
pE93,Grandcypher (? empty)
pEA0,Grandcypher (Sir Barrold)
pF00,Booting
pF01,?
pF02,?
pF03,?
pF04,?
pF05,?
pF06,Title Screen
pF07,?
pF10,Lyria's Journal
pF11,Credits
pFE0,?
pFE1,?
pFF0,?
pFFF,?